0.000000   100.000000   new 1567.099033 100.000000
8644844.171974 100.000000   new 8669582.530295 100.000000
8671194.337884 100.000000   new 8671103.885607 100.000000
8672716.697521 100.000000   new 8675418.129773 100.000000
8677032.407945 100.000000   new 8676953.936592 100.000000
8678568.320367 100.000000   new 8741750.545442 100.000000
8743361.883714 100.000000   new 8743314.206304 100.000000
8744925.520594 100.000000   new 8745845.376898 100.000000
8747455.185213 100.000000   new 8747367.411753 100.000000
8748977.541709 100.000000   new 8749788.084966 100.000000
8751395.694512 100.000000   new 8751352.134348 100.000000
8752959.331393 100.000000   new 8899996.779619 100.000000
8901603.966656 100.000000   new 8901519.120651 100.000000
8903126.326130 100.000000   new 8905207.387155 100.000000
8906831.488604 100.000000   new 8906740.938639 100.000000
8908364.321019 100.000000   new 9411956.273173 100.000000
9413578.988793 100.000000   new 9413478.579944 100.000000
9415101.347951 100.000000   new 9417118.237292 100.000000
9418738.742187 100.000000   new 9418651.825471 100.000000
9420271.573386 100.000000   new 9457900.953484 100.000000
9459520.195713 100.000000   new 9459466.997992 100.000000
9461086.910930 100.000000   new 9873794.625568 100.000000
9875418.430758 100.000000   new 9875316.981913 100.000000
9876940.789940 100.000000   new 9879003.399188 100.000000
9880645.952175 100.000000   new 9880537.029143 100.000000
9882178.783798 100.000000   new 10332350.883446 100.000000
10333990.098762 100.000000   new 10333917.546458 100.000000
10335556.816370 100.000000   new 10344816.006607 100.000000
10346459.759067 100.000000   new 10346379.653516 100.000000
10348023.392475 100.000000   new 10367113.423603 100.000000
10368756.046958 100.000000   new 10368677.144302 100.000000
10370319.683575 100.000000   new 10378662.206480 100.000000
10380304.035162 100.000000   new 10380181.766577 100.000000
10381826.391685 100.000000   new 10383821.655894 100.000000
10385463.787130 100.000000   new 10385355.321505 100.000000
10386996.618891 100.000000   new 10689318.901517 100.000000
10690962.375490 100.000000   new 10690841.255088 100.000000
10692484.734495 100.000000   new 10694526.123694 100.000000
10696189.898941 100.000000   new 10696059.819366 100.000000
10697722.730426 100.000000   new 11018629.576045 100.000000
11020297.464798 100.000000   new 11020151.836693 100.000000
11021819.823712 100.000000   new 11023791.879578 100.000000
11025457.216329 100.000000   new 11025325.596450 100.000000
11026990.047794 100.000000   new 11399331.904909 100.000000
11400995.936493 100.000000   new 11400854.249516 100.000000
11402518.292400 100.000000   new 11404537.769817 100.000000
11406223.456505 100.000000   new 11406071.522704 100.000000
11407756.288054 100.000000   new 11600045.464428 100.000000
11601729.662386 100.000000   new 11601612.194406 100.000000
11603296.376583 100.000000   new 11625699.856892 100.000000
11627383.019436 100.000000   new 11627263.546267 100.000000
11628946.655535 100.000000   new 11631186.377656 100.000000
11632868.066477 100.000000   new 11632750.580274 100.000000
11634431.702769 100.000000   new 11668392.351525 100.000000
11670089.123275 100.000000   new 11669955.299118 100.000000
11671652.759580 100.000000   new 11704121.690923 100.000000
11705816.780667 100.000000   new 11705685.435787 100.000000
11707380.416932 100.000000   new 11712658.780703 100.000000
11714352.701551 100.000000   new 11714176.647405 100.000000
11715875.060959 100.000000   new 11716104.415508 100.000000
11717824.370028 100.000000   new 11717620.858842 100.000000
11719357.198036 100.000000   new 11758195.508065 100.000000
11759931.016002 100.000000   new 11759759.213781 100.000000
11761494.652313 100.000000   new 11772054.531893 100.000000
11773809.667546 100.000000   new 11773618.771269 100.000000
11775376.384389 100.000000   new 11832359.406065 100.000000
11834137.169319 100.000000   new 11833922.510288 100.000000
11835700.802897 100.000000   new 11842959.054462 100.000000
11844732.063605 100.000000   new 11844523.606566 100.000000
