37087247654921.218750 98.469089    new 1733805588780.499268 99.928431 
37088163793351.000000 98.469051    new 1733961952039.352051 99.928424 
37088320148640.492188 98.469044    new 1734921141064.612549 99.928385 
37089279287567.117188 98.469005    new 1735077504527.640869 99.928378 
37089435642932.679688 98.468998    new 1735951292755.773682 99.928342 
37090309396357.226562 98.468962    new 1736107654327.096680 99.928336 
37090465751934.882812 98.468956    new 1737066477347.885498 99.928296 
37091424521315.296875 98.468916    new 1737222841374.571289 99.928290 
37091580876364.164062 98.468910    new 1738089125197.264404 99.928254 
37092447114186.562500 98.468874    new 1738245488838.349121 99.928248 
37092603469269.312500 98.468868    new 1739212991834.825195 99.928208 
37093570925154.640625 98.468828    new 1739369354780.147949 99.928201 
37093727280627.000000 98.468821    new 1740253630401.306641 99.928165 
37094611506969.015625 98.468785    new 1740409994377.269043 99.928158 
37094767862592.335938 98.468778    new 1741375891181.679932 99.928118 
37095733654649.953125 98.468738    new 1741532263067.744385 99.928112 
