interval 0.005076   current 14668.827097   old_charge 358392714   old_soc 99.999985   new_charge 8762469   new_soc 100.000000
interval 0.448050   current 14668.827097   old_charge 358394278   old_soc 99.999985   new_charge 8900488   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358532290   old_soc 99.999985   new_charge 8901993   new_soc 100.000000
interval 0.012028   current 14668.827097   old_charge 358533813   old_soc 99.999985   new_charge 8905694   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 358537517   old_soc 99.999985   new_charge 8907213   new_soc 100.000000
interval 1.158830   current 14668.827097   old_charge 358539050   old_soc 99.999985   new_charge 9264186   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 358896004   old_soc 99.999985   new_charge 9265753   new_soc 100.000000
interval 0.023324   current 14668.827097   old_charge 358897567   old_soc 99.999985   new_charge 9272937   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358904752   old_soc 99.999985   new_charge 9274442   new_soc 100.000000
interval 0.009592   current 14668.827097   old_charge 358906274   old_soc 99.999985   new_charge 9277396   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 358909228   old_soc 99.999985   new_charge 9278916   new_soc 100.000000
interval 0.091010   current 14668.827097   old_charge 358910761   old_soc 99.999985   new_charge 9306950   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358938795   old_soc 99.999985   new_charge 9308455   new_soc 100.000000
interval 0.011808   current 14668.827097   old_charge 358940317   old_soc 99.999985   new_charge 9312100   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 358943954   old_soc 99.999985   new_charge 9313619   new_soc 100.000000
interval 0.076054   current 14668.827097   old_charge 358945487   old_soc 99.999985   new_charge 9337048   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358968914   old_soc 99.999985   new_charge 9338553   new_soc 100.000000
interval 0.007320   current 14668.827097   old_charge 358970436   old_soc 99.999985   new_charge 9340808   new_soc 100.000000
interval 0.004986   current 14668.827097   old_charge 358972691   old_soc 99.999985   new_charge 9342335   new_soc 100.000000
interval 0.195842   current 14668.827097   old_charge 358974227   old_soc 99.999985   new_charge 9402663   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 359034552   old_soc 99.999985   new_charge 9404230   new_soc 100.000000
interval 0.008212   current 14668.827097   old_charge 359036115   old_soc 99.999985   new_charge 9406762   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 359038645   old_soc 99.999985   new_charge 9408267   new_soc 100.000000
interval 0.007850   current 14668.827097   old_charge 359040167   old_soc 99.999985   new_charge 9410685   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 359042585   old_soc 99.999985   new_charge 9412252   new_soc 100.000000
interval 1.448680   current 14668.827097   old_charge 359044149   old_soc 99.999985   new_charge 9858511   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 359490384   old_soc 99.999985   new_charge 9860018   new_soc 100.000000
interval 0.012028   current 14668.827097   old_charge 359491907   old_soc 99.999985   new_charge 9863719   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 359495612   old_soc 99.999985   new_charge 9865240   new_soc 100.000000
interval 0.436472   current 14668.827097   old_charge 359497144   old_soc 99.999985   new_charge 9999693   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 359631590   old_soc 99.999985   new_charge 10001260   new_soc 100.000000
interval 0.048468   current 14668.827097   old_charge 359633154   old_soc 99.999985   new_charge 10016190   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 359648083   old_soc 99.999985   new_charge 10017697   new_soc 100.000000
interval 0.014586   current 14668.827097   old_charge 359649606   old_soc 99.999985   new_charge 10022190   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 359654099   old_soc 99.999985   new_charge 10023711   new_soc 100.000000
interval 0.048102   current 14668.827097   old_charge 359655631   old_soc 99.999985   new_charge 10038529   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 359670448   old_soc 99.999985   new_charge 10040036   new_soc 100.000000
interval 0.007320   current 14668.827097   old_charge 359671971   old_soc 99.999985   new_charge 10042292   new_soc 100.000000
interval 0.004986   current 14668.827097   old_charge 359674225   old_soc 99.999985   new_charge 10043819   new_soc 100.000000
interval 0.187402   current 14668.827097   old_charge 359675761   old_soc 99.999985   new_charge 10101547   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 359733486   old_soc 99.999985   new_charge 10103114   new_soc 100.000000
interval 0.008212   current 14668.827097   old_charge 359735050   old_soc 99.999985   new_charge 10105645   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 359737579   old_soc 99.999985   new_charge 10107152   new_soc 100.000000
interval 0.012920   current 14668.827097   old_charge 359739102   old_soc 99.999985   new_charge 10111126   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 359743081   old_soc 99.999985   new_charge 10112692   new_soc 100.000000
interval 0.592912   current 14668.827097   old_charge 359744645   old_soc 99.999985   new_charge 10295336   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 359927279   old_soc 99.999985   new_charge 10296844   new_soc 100.000000
interval 0.011808   current 14668.827097   old_charge 359928801   old_soc 99.999985   new_charge 10300487   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 359932439   old_soc 99.999985   new_charge 10302009   new_soc 100.000000
interval 0.880412   current 14668.827097   old_charge 359933971   old_soc 99.999985   new_charge 10573216   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 360205164   old_soc 99.999985   new_charge 10574782   new_soc 100.000000
interval 0.086022   current 14668.827097   old_charge 360206727   old_soc 99.999985   new_charge 10601282   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 360233225   old_soc 99.999985   new_charge 10602790   new_soc 100.000000
interval 0.015322   current 14668.827097   old_charge 360234747   old_soc 99.999985   new_charge 10607514   new_soc 100.000000
interval 0.004986   current 14668.827097   old_charge 360239466   old_soc 99.999985   new_charge 10609042   new_soc 100.000000
interval 0.192486   current 14668.827097   old_charge 360241002   old_soc 99.999985   new_charge 10668336   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 360300294   old_soc 99.999985   new_charge 10669903   new_soc 100.000000
interval 0.008212   current 14668.827097   old_charge 360301857   old_soc 99.999985   new_charge 10672434   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 360304387   old_soc 99.999985   new_charge 10673942   new_soc 100.000000
interval 0.007850   current 14668.827097   old_charge 360305909   old_soc 99.999985   new_charge 10676360   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 360308327   old_soc 99.999985   new_charge 10677926   new_soc 100.000000
interval 1.011664   current 14668.827097   old_charge 360309891   old_soc 99.999985   new_charge 10989565   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 360621512   old_soc 99.999985   new_charge 10991074   new_soc 100.000000
interval 0.012028   current 14668.827097   old_charge 360623035   old_soc 99.999985   new_charge 10994776   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 360626740   old_soc 99.999985   new_charge 10996298   new_soc 100.000000
